105	91	+	13	82379905
166	513	+	13	82376656
207	453	+	13	82376671
262	93	+	13	82378379
329	61	+	13	82376629
392	123	+	13	82378330
569	561	+	13	82376693
585	97	+	13	82378451
678	353	+	13	82379935
826	535	+	13	82378468
335	337	-	8	22161426
99	499	-	8	22161407
726	583	-	8	22161386
386	415	-	8	22161292
101	649	-	8	22161280
180	413	-	8	22161263
13	31	-	8	22161145
258	663	-	8	22160989
392	57	-	8	22160974
126	761	-	8	22160951
792	327	+	8	106603623
469	39	+	8	106603642
348	333	+	8	106603682
111	729	+	8	106603732
7	61	+	7	13069782
265	125	+	7	13069858
721	51	+	7	13069873
593	59	+	7	13069915
242	691	+	7	13069930
754	593	+	7	13070048
469	389	+	7	13070070
418	743	+	7	13070092
73	331	+	7	13070120
329	369	+	7	13070185
338	269	+	7	13070227
